,,Small Signal MOSFETS,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,"Drain-Source
Voltage
VDS (V)","Gate-Source
Voltage
VGS (V)","Drain
Current
ID (A)","RDS(ON)
Max
@VGS=10V
(Ω)","RDS(ON)
Max
@VGS=4.5V
(Ω)","RDS(ON)
Max
@VGS=2.5V
(Ω)","Gate
Threshold
Voltage
VGS(th) Min
(V)","Gate
Threshold
Voltage
VGS(th) Max
(V)","ESD
Diodes","Junction
Temperature
Tj [max]
MCC (Micro Commercial Components),MCM13N03,Active,R H,Single,N,DFN2020-6LE,30,±20,13,0.012,0.015,,1,2.5,No,150
MCC (Micro Commercial Components),MCM012N04L,Active,R H,Single,N,DFN2020-6LE,40,±20,12,0.012,0.016,,1,2.5,No,150
MCC (Micro Commercial Components),UM6K1NA-TPQ2,Active,R H,Dual,N+N,SOT-363,30,±20,0.5,0.75,0.96,,0.7,1.5,Yes,150
MCC (Micro Commercial Components),2N7002KDW,Active,R H,Dual,N+N,SOT-363,60,±20,0.34,3,4,,1,2.5,Yes,150
MCC (Micro Commercial Components),BSS138AKDW,Active,R H,Dual,N+N,SOT-363,50,±20,0.22,1.6,2.5,3.8,0.8,1.45,Yes,150
MCC (Micro Commercial Components),2N7002KDW-TPQ2,Active,R H,Dual,N+N,SOT-363,60,±20,0.34,3,4,,1,2.5,Yes,150
MCC (Micro Commercial Components),UM6K1NA,Active,R H,Dual,N+N,SOT-363,30,±20,0.5,0.75,0.96,,0.7,1.5,Yes,150
MCC (Micro Commercial Components),BSS138AKDW-TPQ2,Active,R H,Dual,N+N,SOT-363,50,±20,0.22,1.6,2.5,3.8,0.8,1.45,Yes,150
MCC (Micro Commercial Components),SI3134KDWA,Active,R H,Dual,N+N,SOT-363,20,±12,0.75,,0.3,0.4,0.35,1.1,Yes,150
MCC (Micro Commercial Components),BSS138BKDW,Active,R H,Dual,N+N,SOT-363,50,±20,0.22,1.5,2.3,4.1,0.8,1.45,Yes,150
MCC (Micro Commercial Components),BSS138BKDW-TPQ2,Active,R H,Dual,N+N,SOT-363,50,±20,0.22,1.5,2.3,4.1,0.8,1.45,Yes,150
