,,ESD Protection Devices,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,"Reverse
Standoff
Voltage
VRWM(V)","Peak Pulse
Current
IPP(A)","Max.
Clamping
Voltage
VC (V)","Junction
Capacitance
CJ(pF)","Peak Pluse
Power
Dissipation
PPPK (W)","Maximum
Reverse
Leakage
IR (uA)","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)","VESDIEC61000-4-2
Air/Contact
(kV)"
,,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),ESDSBL5V0LTB,Active,R H,2,Bidirectional,DFN1006-3,5,8,12,11,96,0.1,5.3,,125,±30
MCC (Micro Commercial Components),ESD4V5P4,Active,R H,1,Unidirectional,DFN2020-3L,4.5,280,18,680,5000,2,4.8,,125,±30
MCC (Micro Commercial Components),ESD7V0P4,Active,R H,1,Unidirectional,DFN2020-3L,7.5,275,22,1500,6000,1,8,,125,±30
MCC (Micro Commercial Components),ESD12VP4,Active,R H,1,Unidirectional,DFN2020-3L,12,200,30,550,6000,1,13,,125,±30
MCC (Micro Commercial Components),ESD1051P4,Active,R H,1,Unidirectional,DFN2020-3L,10,205,21,2600,4500,1,10.5,12.5,125,±30
MCC (Micro Commercial Components),ESD2451P4,Active,R H,1,Unidirectional,DFN2020-3L,24,120,38,1000,4500,0.1,24.5,28,125,±30
MCC (Micro Commercial Components),ESD1851P4,Active,R H,1,Unidirectional,DFN2020-3L,18,150,33,1200,4500,0.1,18.5,21,125,±30
MCC (Micro Commercial Components),ESD1251P4,Active,R H,1,Unidirectional,DFN2020-3L,12,200,24,2000,4500,0.1,12.5,15,125,±30
MCC (Micro Commercial Components),ESD1551P4,Active,R H,1,Unidirectional,DFN2020-3L,15,160,28,1500,4500,0.1,15.5,18,125,±30
MCC (Micro Commercial Components),ESDHC36VP4,Active,R H,1,Unidirectional,DFN2020-3L,36,75,65,470,4875,1,36.8,,125,±30
MCC (Micro Commercial Components),ESDHHC12VP4,Active,R H,1,Unidirectional,DFN2020-3L,12,200,27,1400,5000,1,12.5,15.5,125,±30
MCC (Micro Commercial Components),ESDHHC15VP4,Active,R H,1,Unidirectional,DFN2020-3L,15,180,30,1200,5000,1,15.5,19,125,±30
MCC (Micro Commercial Components),ESDHC12VP4,Active,R H,1,Unidirectional,DFN2020-3L,12,200,24,1080,5000,0.5,12.8,15,125,±30
MCC (Micro Commercial Components),ESDHC15VP4,Active,R H,1,Unidirectional,DFN2020-3L,15,170,35,1050,5000,0.5,16,19,125,±30
MCC (Micro Commercial Components),ESDHC18VP4,Active,R H,1,Unidirectional,DFN2020-3L,18,150,38,950,5000,0.5,19,22,125,±30
MCC (Micro Commercial Components),ESDHC24VP4,Active,R H,1,Unidirectional,DFN2020-3L,24,120,60,800,5000,0.5,25,30,125,±30
MCC (Micro Commercial Components),ESD4V5P4B,Active,R H,1,Bidirectional,DFN2020-3L,4.5,300,20,350,6000,1,4.8,,125,±30
MCC (Micro Commercial Components),ESDLC3V3D5,Active,R H,1,Unidirectional,SOD-523,3.3,11,14.5,20,155,0.1,3.5,,125,±30
MCC (Micro Commercial Components),ESDSLC5V0D5,Active,R H,1,Unidirectional,SOD-523,5,5,16,0.7,80,0.5,6,,125,±25
MCC (Micro Commercial Components),ESDSLC5V0LU,Active,R H,1,Unidirectional,DFN1006-2,5,5,15,0.8,75,0.5,5.4,6.5,125,±25/±20
MCC (Micro Commercial Components),ESDLC0554P3,Active,R H,4,Unidirectional,DFN1616-6L,5.5,11,22,2,240,0.1,6,7.8,125,±30
MCC (Micro Commercial Components),ESD0551P1,Active,R H,1,Unidirectional,DFN1608-2,5,80,15,700,1200,1,6,,125,±30
MCC (Micro Commercial Components),ESD1531P1,Active,R H,1,Unidirectional,DFN1608-2,15,20,35,100,700,0.5,16.5,,125,±30
MCC (Micro Commercial Components),ESD24VP1,Active,R H,1,Unidirectional,DFN1608-2,24,20,48,120,960,0.5,26,,125,±30
MCC (Micro Commercial Components),ESDHC12VP1,Active,R H,1,Unidirectional,DFN1608-2,12,45,22,260,990,0.5,12,,125,±30
MCC (Micro Commercial Components),ESD5V0PW,Active,R H,4,Unidirectional,DFN1308-5,5,3,12,0.45,36,0.1,6.5,9,125,±20/±15
MCC (Micro Commercial Components),ESDLC3304P9,Active,R H,4,Unidirectional,DFN3020-10,3.3,40,25,5,1000,0.5,3.5,,125,±30
MCC (Micro Commercial Components),ESDSBLC24VAE2,Active,R H,1,Bidirectional,0201-A,24,4,9,0.5,36,0.05,25,,125,±15
MCC (Micro Commercial Components),ESDSBSLC5V0AE2,Active,R H,1,Bidirectional,0201-A,5,4,14,0.5,44,0.05,6,,125,±15
MCC (Micro Commercial Components),ESDSBSLC18VAE2,Active,R H,1,Bidirectional,0201-A,18,4,10,0.5,34,0.05,18.5,,125,±18
MCC (Micro Commercial Components),ESDSBSLC3V3AE2,Active,R H,1,Bidirectional,0201-A,3.3,4,8.5,0.5,34,0.05,7,,125,±30
MCC (Micro Commercial Components),ESDHSBLC5V0LB,Active,R H,1,Bidirectional,DFN1006-2,5,15,14,1.55,210,0.05,6,,125,±30
MCC (Micro Commercial Components),ESDSBPLC3V3LB,Active,R H,1,Bidirectional,DFN1006-2,3.3,7,7.5,0.8,53,0.05,7,,125,±30
MCC (Micro Commercial Components),ESDSBULC5V0LB,Active,R H,1,Bidirectional,DFN1006-2,5,7,12,1,84,0.05,6,,125,±30
MCC (Micro Commercial Components),ESDSBSLC18VLB,Active,R H,1,Bidirectional,DFN1006-2,18,4,10,0.5,40,0.05,18.5,,125,±15
MCC (Micro Commercial Components),ESDSBSLC3V3LB,Active,R H,1,Bidirectional,DFN1006-2,3.3,4,8.5,0.5,34,0.05,7,,125,±30
MCC (Micro Commercial Components),ESDSBSLC5V0D3B,Active,R H,1,Bidirectional,SOD-323,5,7,11,0.8,77,0.05,6,,125,±30
MCC (Micro Commercial Components),ESD4571P6,Active,R H,1,Unidirectional,DFN1610-2,4.5,180,18,400,3200,0.2,4.8,,125,±30
