Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCACLS330N04YAHE3,Active,A R H,Single,N,DFN5060-DSC,40,±20,330,0.0011,,,2,4,No,175,1350,1320
MCC (Micro Commercial Components),MCGWF60N04YHE3,Active,A R H,Single,N,DFN3333-8(SWF),40,±20,60,0.0039,,,2,4,No,175,156,240
MCC (Micro Commercial Components),MCAC7D0N04L,Active,R H,Single,N,DFN5060,40,±20,75,0.007,0.009,,1,2.5,No,150,100,300
MCC (Micro Commercial Components),MCAC7D5N10YL,Active,R H,Single,N,DFN5060,100,±20,75,0.0075,0.0095,,1.3,2.5,No,150,225,300
MCC (Micro Commercial Components),MCAC012N06H,Active,R H,Single,N,DFN5060,60,±20,60,0.012,,,2,4,No,150,265,240
MCC (Micro Commercial Components),MCACLS290N04YHE3,Active,A R H,Single,N,DFN5060-DSC,40,±20,290,0.0011,,,2,4,No,175,330,1160
MCC (Micro Commercial Components),MCAC160N06YHE3,Active,A R H,Single,N,DFN5060,60,±20,160,0.0025,,,2,4,No,175,529,640
MCC (Micro Commercial Components),MCG012N10YL,Active,R H,Single,N,DFN3333,100,±20,50,0.012,0.018,,1,3,No,175,64,200
MCC (Micro Commercial Components),MCAC95N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,95,0.0032,,,2,4,No,175,132,380
MCC (Micro Commercial Components),MCAC25N10YHE3,Active,A R H,Single,N,DFN5060,100,±20,25,0.033,0.06,,1,2.5,No,175,25,100
MCC (Micro Commercial Components),MCAC014N10Y,Active,R H,Single,N,DFN5060,100,±20,60,0.014,0.02,,1,3,No,150,81,240
MCC (Micro Commercial Components),MCACL2D5N06YL,Active,R H,Single,N,DFN5060,60,±20,140,0.0025,0.0035,,1.2,2.5,No,150,800,560
MCC (Micro Commercial Components),MCAC180N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,180,0.002,,,2,4,No,175,937,720
MCC (Micro Commercial Components),MCAC125N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,125,0.0026,,,2,4,No,175,132,500
MCC (Micro Commercial Components),MCAC160N06Y,Active,R H,Single,N,DFN5060,60,±20,160,0.0025,,,2,4,No,175,529,640
MCC (Micro Commercial Components),MCAC2D5N065Y,Active,R H,Single,N,DFN5060,65,±20,160,0.0025,,,2,4,No,175,529,640
MCC (Micro Commercial Components),MCGWF60N06YHE3,Active,A R H,Single,N,DFN3333-8(SWF),60,±20,60,0.006,0.01,,1,2.5,No,175,95,240
MCC (Micro Commercial Components),MCAC120N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,120,0.0031,,,2,4,No,175,156,480
MCC (Micro Commercial Components),MCAC88N04Y,Active,R H,Single,N,DFN5060,40,±20,88,0.0045,,,2,4,No,175,56,352
MCC (Micro Commercial Components),MCAC88N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,88,0.0045,,,2,4,No,175,56,352
