,,Small Signal Schottky Diodes,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA) [max] @
VR",VR (V),IF(A),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),BAT60B,Active,R H,Single,,SOD-323,3,10,0.3,15,5,0.01,150
MCC (Micro Commercial Components),SD103AWS,Active,R H,Single,,SOD-323,0.35,40,0.37,5,30,0.02,125
MCC (Micro Commercial Components),SD103BWS,Active,R H,Single,,SOD-323,0.35,30,0.37,5,20,0.02,125
MCC (Micro Commercial Components),SD103CWS,Active,R H,Single,,SOD-323,0.35,20,0.37,5,10,0.02,125
MCC (Micro Commercial Components),SD107WS,Active,R H,Single,,SOD-323,0.1,30,0.55,1,25,0.05,150
MCC (Micro Commercial Components),SD101AWS,Active,R H,Single,,SOD-323,0.015,60,0.41,0.2,50,0.001,125
MCC (Micro Commercial Components),SD101BWS,Active,R H,Single,,SOD-323,0.015,50,0.4,0.2,40,0.001,125
MCC (Micro Commercial Components),SD101CWS,Active,R H,Single,,SOD-323,0.015,40,0.39,0.2,30,0.001,125
MCC (Micro Commercial Components),BAS40WX,Active,R H,Single,,SOD-323,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAS70WX,Active,R H,Single,,SOD-323,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54WX,Active,R H,Single,,SOD-523,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),SD103AX,Active,R H,Single,,SOD-523,0.35,40,0.6,5,30,0.2,125
MCC (Micro Commercial Components),BAS40X,Active,R H,Single,,SOD-523,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAS70X,Active,R H,Single,,SOD-523,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),B5817X2,Active,R H,Single,,SOD-523,1,40,0.6,30,20,1,125
MCC (Micro Commercial Components),BAT43X,Active,R H,Single,,SOD-523,0.2,30,1,0.5,25,0.2,125
MCC (Micro Commercial Components),RB521S-30HE3,Active,A R H,Single,,SOD-523,0.2,30,0.5,30,10,0.2,125
MCC (Micro Commercial Components),RB521S-40,Active,R H,Single,,SOD-523,0.2,40,0.54,90,40,0.2,125
MCC (Micro Commercial Components),RB520S-40,Active,R H,Single,,SOD-523,0.2,40,0.55,1,10,0.1,125
MCC (Micro Commercial Components),RB520S-40HE3,Active,A R H,Single,,SOD-523,0.25,40,0.55,1,10,0.1,125
MCC (Micro Commercial Components),RB521S-30,Active,R H,Single,,SOD-523,0.2,30,0.5,30,10,0.2,125
MCC (Micro Commercial Components),RB520S-30,Active,R H,Single,,SOD-523,0.2,30,0.6,1,10,0.2,125
MCC (Micro Commercial Components),RB520S-30HE3,Active,A R H,Single,,SOD-523,0.2,30,0.6,1,10,0.2,125
MCC (Micro Commercial Components),RB521S-40HE3,Active,A R H,Single,,SOD-523,0.2,40,0.59,90,40,0.2,125
MCC (Micro Commercial Components),RB751S-40,Active,R H,Single,,SOD-523,0.03,40,0.37,0.5,30,0.001,125
MCC (Micro Commercial Components),RB751S-40HE3,Active,A R H,Single,,SOD-523,0.03,40,0.37,0.5,30,0.001,150
MCC (Micro Commercial Components),BAT46C,Active,R H,Dual,Common Cathode,SOT-23,0.2,100,1.0,0.1,50,0.2,150
MCC (Micro Commercial Components),BAS70-05HQ,Active,A R H,Dual,Common Cathode,SOT-23,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),BAS40-05HQ,Active,A R H,Dual,Common Cathode,SOT-23,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAS70-05T,Active,R H,Dual,Common Cathode,SOT-523,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54DW,Active,R H,Dual-Dual,Series,SOT-363,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS40V,Active,R H,Dual,Isolated (Alt.),SOT-563,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAT54V,Active,R H,Dual,Isolated,SOT-563,0.2,30,1,2,25,0.04,150
MCC (Micro Commercial Components),BAT54STH,Active,R H,Dual,Series,SOT-523,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS70WT-04HQ,Active,A R H,Dual,Series,SOT-323,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),BAT54SWTHQ,Active,A R H,Dual,Series,SOT-323,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS40-04T,Active,R H,Dual,Series,SOT-523,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAT54ST,Active,R H,Dual,Series,SOT-523,0.2,30,1,2,25,0.1,125
MCC (Micro Commercial Components),BAS70-04T,Active,R H,Dual,Series,SOT-523,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54SHQ,Active,A R H,Dual,Series,SOT-23,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS70-04HQ,Active,A R H,Dual,Series,SOT-23,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),BAT46S,Active,R H,Dual,Series,SOT-23,0.2,100,1.0,0.1,50,0.2,150
MCC (Micro Commercial Components),BAS40-04HQ,Active,A R H,Dual,Series,SOT-23,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAR43S,Active,R H,Dual,Series,SOT-23,0.2,30,0.33,0.5,25,0.002,125
MCC (Micro Commercial Components),BAT64-04HE3,Active,A R H,Dual,Series,SOT-23,0.225,40,0.43,2,25,0.01,150
MCC (Micro Commercial Components),BAT54SH,Active,R H,Dual,Series,SOT-23,0.3,40,0.9,1,30,0.1,150
MCC (Micro Commercial Components),BAS40-04HE3,Active,A R H,Dual,Series,SOT-23,0.2,40,1,0.2,30,0.04,150
