Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),VF (V) [max]@IF(A),IR (uA) [max] @ VR,IFSM (A),IF(A),VR (V),Tj [max] (°C)
MCC (Micro Commercial Components),GBU15K,Active,R H,1-Phase Bridge,GBU,15,800,1,5,240,7.5,800,150
MCC (Micro Commercial Components),GBU15M,Active,R H,1-Phase Bridge,GBU,15,1000,1,5,240,7.5,1000,150
MCC (Micro Commercial Components),GBU10KL,Active,R H,1-Phase Bridge,GBU,10,800,0.92,5,200,5,800,150
MCC (Micro Commercial Components),GBU15L06,Active,R H,1-Phase Bridge,GBU,15,600,0.92,5,250,7.5,600,150
MCC (Micro Commercial Components),GBU10MS,Active,R H,1-Phase Bridge,GBU,10,1000,1,5,175,5,1000,150
MCC (Micro Commercial Components),GBU15MS,Active,R H,1-Phase Bridge,GBU,15,1000,1,5,200,7.5,1000,150
MCC (Micro Commercial Components),GBU2010S,Active,R H,1-Phase Bridge,GBU,20,1000,1,5,250,10,1000,150
MCC (Micro Commercial Components),GBU2510S,Active,R H,1-Phase Bridge,GBU,25,1000,1,5,300,12.5,1000,150
MCC (Micro Commercial Components),GBU4MS,Active,R H,1-Phase Bridge,GBU,4,1000,1,5,135,2,1000,150
MCC (Micro Commercial Components),GBU6MS,Active,R H,1-Phase Bridge,GBU,6,1000,1,5,150,3,1000,150
MCC (Micro Commercial Components),GBU2006,Active,R H,1-Phase Bridge,GBU,20,600,1,5,240,10,600,150
MCC (Micro Commercial Components),GBU2008,Active,R H,1-Phase Bridge,GBU,20,800,1,5,240,10,800,150
MCC (Micro Commercial Components),GBU2010,Active,R H,1-Phase Bridge,GBU,20,1000,1,5,240,10,1000,150
MCC (Micro Commercial Components),GBU4JL,Active,R H,1-Phase Bridge,GBU,4,600,0.89,5,150,2,600,150
MCC (Micro Commercial Components),GBU4KL,Active,R H,1-Phase Bridge,GBU,4,800,0.89,5,150,2,800,150
MCC (Micro Commercial Components),GBU3510,Active,R H,1-Phase Bridge,GBU,35,1000,1.05,5,450,17.5,1000,150
MCC (Micro Commercial Components),GBU5010,Active,R H,1-Phase Bridge,GBU,50,1000,1,5,500,25,1000,150
MCC (Micro Commercial Components),RGBU6M,Active,R H,1-Phase Bridge,GBU,6,1000,1.3,5,150,3,1000,150
MCC (Micro Commercial Components),RGBU8M,Active,R H,1-Phase Bridge,GBU,8,1000,1.3,5,175,4,1000,150
MCC (Micro Commercial Components),GBU2508L,Active,R H,1-Phase Bridge,GBU,25,800,0.92,5,450,12.5,800,150
MCC (Micro Commercial Components),PB5008L,Active,R H,1-Phase Bridge,PB,50,800,0.97,5,500,25,800,150
MCC (Micro Commercial Components),EGBU1006,Active,R H,1-Phase Bridge,GBU,10,600,1.7,5,120,5,600,150
MCC (Micro Commercial Components),EGBU1506,Active,R H,1-Phase Bridge,GBU,15,600,2,5,180,7.5,600,150
MCC (Micro Commercial Components),EGBU2006,Active,R H,1-Phase Bridge,GBU,20,600,2,5,180,10,600,150
MCC (Micro Commercial Components),EGBU2506,Active,R H,1-Phase Bridge,GBU,25,600,2,5,220,12.5,600,150
MCC (Micro Commercial Components),EGBU3506,Active,R H,1-Phase Bridge,GBU,35,600,2,5,350,17.5,600,150
MCC (Micro Commercial Components),GBU15L08,Active,R H,1-Phase Bridge,GBU,15,800,0.92,5,220,7.5,800,150
MCC (Micro Commercial Components),GBU25L08,Active,R H,1-Phase Bridge,GBU,25,800,0.92,5,360,12.5,800,150
MCC (Micro Commercial Components),GBU3006,Active,R H,1-Phase Bridge,GBU,30,600,1,5,350,15,600,150
MCC (Micro Commercial Components),GBU3008,Active,R H,1-Phase Bridge,GBU,30,800,1,5,350,15,800,150
